id_precio;id_clinica;id_especialidad;id_prestacion;valor
204;8;1;3;55000
205;8;2;6;45000
206;8;2;7;50000
207;8;2;9;25000
208;8;3;11;40000
209;8;3;12;40000
210;8;3;14;40000
211;8;4;18;45000
212;8;5;21;80000
213;8;5;23;50000
214;8;6;29;65000
215;8;7;32;35000
216;8;8;37;70000
217;8;8;38;40000
218;8;8;39;75000
219;8;8;40;25000
220;8;9;43;55000
221;8;10;46;60000
222;8;10;47;65000
223;8;10;50;65000
224;8;11;53;45000
225;8;11;55;45000
226;8;12;58;35000
227;8;12;60;80000
228;8;13;63;25000
229;8;14;69;70000
230;9;1;1;50000
231;9;1;2;75000
232;9;1;3;35000
233;9;1;4;75000
234;9;1;5;35000
235;9;2;9;60000
236;9;2;10;55000
237;9;3;11;75000
238;9;3;12;80000
239;9;3;13;80000
240;9;3;14;45000
241;9;3;15;55000
242;9;4;17;55000
243;9;4;19;55000
244;9;5;21;55000
245;9;5;25;60000
246;9;6;27;35000
247;9;6;28;70000
248;9;6;30;60000
249;9;8;36;35000
250;9;8;37;65000
251;9;8;39;65000
252;9;8;40;55000
253;9;9;42;45000
254;9;10;47;90000
255;9;10;48;40000
256;9;10;49;85000
257;9;11;52;70000
258;9;11;53;55000
259;9;11;54;30000
260;9;11;55;40000
261;9;12;59;75000
262;9;13;61;40000
263;9;13;62;70000
264;9;14;66;60000
265;10;1;2;90000
266;10;2;9;25000
267;10;2;10;40000
268;10;3;12;25000
269;10;3;13;75000
270;10;5;24;90000
271;10;5;25;25000
272;10;6;28;65000
273;10;7;32;55000
274;10;7;33;25000
275;10;8;37;45000
276;10;9;41;55000
277;10;9;42;50000
278;10;9;43;70000
279;10;9;44;25000
280;10;10;46;35000
281;10;10;47;40000
282;10;10;48;45000
283;10;12;57;40000
284;10;12;60;30000
285;10;13;61;55000
286;10;13;62;90000
287;10;14;68;55000
288;11;1;1;85000
289;11;2;7;45000
290;11;2;9;35000
291;11;2;10;40000
292;11;3;14;50000
293;11;3;15;25000
294;11;4;17;55000
295;11;4;19;40000
296;11;5;24;50000
297;11;5;25;75000
298;11;6;29;40000
299;11;7;32;70000
300;11;7;33;55000
301;11;9;42;35000
302;11;11;51;30000
303;11;11;53;60000
304;11;11;54;35000
305;11;12;57;70000
306;11;12;58;35000
307;11;13;62;85000
308;11;13;64;40000
309;11;14;69;85000
310;11;14;70;50000
311;12;1;3;75000
312;12;2;7;40000
313;12;3;15;80000
314;12;4;18;60000
315;12;6;27;75000
316;12;6;28;50000
317;12;6;30;75000
318;12;7;31;35000
319;12;7;33;50000
320;12;7;35;55000
321;12;8;36;50000
322;12;9;43;85000
323;12;9;45;40000
324;12;10;47;80000
325;12;10;49;30000
326;12;11;51;90000
327;12;11;52;40000
328;12;11;53;70000
329;12;12;58;25000
330;12;12;60;45000
331;12;13;63;35000
332;12;13;64;80000
333;12;13;65;70000
334;12;14;66;90000
335;12;14;68;90000
336;13;1;2;70000
337;13;1;3;35000
338;13;1;4;40000
339;13;2;6;40000
340;13;2;9;75000
341;13;3;11;50000
342;13;3;12;50000
343;13;4;16;40000
344;13;4;17;25000
345;13;4;18;90000
346;13;4;20;75000
347;13;5;21;35000
348;13;5;22;70000
349;13;5;25;70000
350;13;6;29;85000
351;13;6;30;85000
352;13;7;32;55000
353;13;7;35;80000
354;13;8;36;40000
355;13;9;41;50000
356;13;9;44;30000
357;13;9;45;65000
358;13;10;47;70000
359;13;10;49;35000
360;13;11;51;80000
361;13;11;55;30000
362;13;12;60;75000
363;13;13;61;60000
364;14;1;2;25000
365;14;1;3;75000
366;14;2;6;85000
367;14;2;7;90000
368;14;2;9;50000
369;14;3;14;40000
370;14;4;16;40000
371;14;4;18;55000
372;14;4;20;60000
373;14;5;21;30000
374;14;5;22;35000
375;14;5;25;45000
376;14;6;26;90000
377;14;6;27;30000
378;14;7;31;85000
379;14;7;32;30000
380;14;7;35;55000
381;14;9;41;65000
382;14;9;45;90000
383;14;10;47;80000
384;14;10;48;80000
385;14;10;49;65000
386;14;11;53;55000
387;14;11;54;55000
388;14;12;56;40000
389;14;12;59;25000
390;14;13;61;55000
391;14;13;63;25000
392;14;13;64;70000
393;15;1;2;60000
394;15;2;6;45000
395;15;2;8;50000
396;15;3;12;30000
397;15;3;13;55000
398;15;4;20;75000
399;15;5;24;65000
400;15;5;25;35000
401;15;6;28;70000
402;15;6;29;80000
403;15;7;31;35000
404;15;7;33;60000
405;15;7;34;30000
406;15;7;35;25000
407;15;8;38;40000
408;15;8;39;65000
409;15;8;40;55000
410;15;9;41;45000
411;15;9;42;80000
412;15;9;43;30000
413;15;9;44;85000
414;15;11;53;50000
415;15;11;54;25000
416;15;11;55;55000
417;15;12;57;30000
418;15;13;63;70000
419;15;14;67;80000
420;15;14;68;30000
421;16;1;4;35000
422;16;2;8;75000
423;16;3;12;55000
424;16;3;14;75000
425;16;4;16;75000
426;16;5;23;30000
427;16;5;24;35000
428;16;5;25;80000
429;16;6;28;50000
430;16;6;29;80000
431;16;7;32;45000
432;16;7;34;45000
433;16;8;36;25000
434;16;8;37;70000
435;16;8;38;50000
436;16;8;40;85000
437;16;9;44;35000
438;16;9;45;60000
439;16;10;48;50000
440;16;10;50;30000
441;16;11;51;65000
442;16;11;53;70000
443;16;11;55;35000
444;16;12;57;55000
445;16;12;60;85000
446;16;13;61;45000
447;16;13;65;25000
448;16;14;67;30000
449;16;14;68;60000
450;17;2;9;25000
451;17;3;11;55000
452;17;3;12;55000
453;17;3;14;80000
454;17;3;15;30000
455;17;4;20;90000
456;17;5;21;80000
457;17;5;22;35000
458;17;5;23;40000
459;17;5;24;30000
460;17;6;26;25000
461;17;6;28;35000
462;17;6;29;70000
463;17;7;33;40000
464;17;7;34;55000
465;17;8;36;75000
466;17;8;37;60000
467;17;8;38;80000
468;17;8;39;90000
469;17;9;41;90000
470;17;9;42;35000
471;17;9;43;60000
472;17;9;45;50000
473;17;10;46;60000
474;17;10;47;30000
475;17;10;48;50000
476;17;10;50;35000
477;17;11;52;90000
478;17;11;55;80000
479;17;12;57;40000
480;17;12;60;50000
481;17;13;61;65000
482;17;14;68;60000
483;18;1;2;40000
484;18;3;11;90000
485;18;3;12;25000
486;18;3;13;65000
487;18;3;14;75000
488;18;4;16;40000
489;18;4;19;45000
490;18;4;20;45000
491;18;5;21;25000
492;18;5;23;90000
493;18;6;29;85000
494;18;7;32;45000
495;18;7;33;85000
496;18;8;36;75000
497;18;8;39;55000
498;18;9;43;35000
499;18;10;50;65000
500;18;11;51;35000
501;18;11;53;50000
502;18;11;55;75000
503;18;12;56;35000
504;18;12;58;55000
505;18;12;60;75000
506;18;14;66;80000
507;18;14;67;30000
508;19;2;6;55000
509;19;3;14;35000
510;19;4;17;85000
511;19;4;18;55000
512;19;4;19;75000
513;19;5;24;55000
514;19;6;27;25000
515;19;6;30;75000
516;19;7;34;85000
517;19;8;36;75000
518;19;8;37;70000
519;19;8;39;50000
520;19;8;40;65000
521;19;9;42;55000
522;19;9;44;25000
523;19;10;46;60000
524;19;10;47;35000
525;19;10;48;75000
526;19;11;51;50000
527;19;11;53;55000
528;19;11;55;60000
529;19;12;56;90000
530;19;12;58;25000
531;19;12;60;25000
532;19;13;61;30000
533;19;13;62;50000
534;19;13;65;80000
535;19;14;67;30000
536;20;1;2;55000
537;20;2;7;40000
538;20;2;9;30000
539;20;3;11;60000
540;20;3;13;40000
541;20;3;15;70000
542;20;4;17;50000
543;20;4;20;45000
544;20;5;21;55000
545;20;5;23;70000
546;20;6;26;65000
547;20;6;27;25000
548;20;6;29;60000
549;20;6;30;85000
550;20;7;35;85000
551;20;8;37;60000
552;20;8;39;75000
553;20;8;40;45000
554;20;9;45;50000
555;20;10;46;60000
556;20;10;47;25000
557;20;10;48;60000
558;20;10;50;25000
559;20;11;51;30000
560;20;11;53;80000
561;20;12;56;45000
562;20;13;61;70000
563;20;13;62;25000
564;20;13;64;70000
565;20;14;69;70000
