id_precio;id_clinica;id_prestacion;valor
141;5;22;25000
142;5;23;35000
143;5;27;75000
144;5;30;35000
145;5;31;65000
146;5;32;50000
147;5;33;50000
148;5;37;30000
149;5;50;55000
150;5;57;60000
151;5;58;30000
152;5;63;35000
153;5;68;80000
154;5;70;55000
155;6;2;60000
156;6;4;35000
157;6;5;35000
158;6;6;45000
159;6;8;80000
160;6;9;75000
161;6;13;30000
162;6;14;30000
163;6;17;45000
164;6;19;90000
165;6;25;30000
166;6;29;80000
167;6;35;70000
168;6;36;85000
169;6;38;35000
170;6;41;40000
171;6;44;35000
172;6;45;50000
173;6;47;65000
174;6;52;35000
175;6;55;65000
176;6;57;25000
177;6;61;80000
178;6;63;80000
179;6;66;45000
180;6;67;75000
181;6;70;45000
182;7;1;55000
183;7;2;25000
184;7;4;70000
185;7;13;55000
186;7;15;35000
187;7;19;75000
188;7;20;45000
189;7;22;45000
190;7;23;65000
191;7;31;30000
192;7;34;70000
193;7;40;90000
194;7;43;70000
195;7;49;65000
196;7;55;40000
197;7;59;45000
198;7;62;70000
199;7;63;55000
200;7;66;35000
201;7;69;25000
202;7;70;55000
203;8;1;35000
204;8;3;55000
205;8;6;45000
206;8;7;50000
207;8;9;25000
208;8;11;40000
209;8;12;40000
210;8;14;40000
211;8;18;45000
212;8;21;80000
213;8;23;50000
214;8;29;65000
215;8;32;35000
216;8;37;70000
217;8;38;40000
218;8;39;75000
219;8;40;25000
220;8;43;55000
221;8;46;60000
222;8;47;65000
223;8;50;65000
224;8;53;45000
225;8;55;45000
226;8;58;35000
227;8;60;80000
228;8;63;25000
229;8;69;70000
230;9;1;50000
231;9;2;75000
232;9;3;35000
233;9;4;75000
234;9;5;35000
235;9;9;60000
236;9;10;55000
237;9;11;75000
238;9;12;80000
239;9;13;80000
240;9;14;45000
241;9;15;55000
242;9;17;55000
243;9;19;55000
244;9;21;55000
245;9;25;60000
246;9;27;35000
247;9;28;70000
248;9;30;60000
249;9;36;35000
250;9;37;65000
251;9;39;65000
252;9;40;55000
253;9;42;45000
254;9;47;90000
255;9;48;40000
256;9;49;85000
257;9;52;70000
258;9;53;55000
259;9;54;30000
260;9;55;40000
261;9;59;75000
262;9;61;40000
263;9;62;70000
264;9;66;60000
265;10;2;90000
266;10;9;25000
267;10;10;40000
268;10;12;25000
269;10;13;75000
270;10;24;90000
271;10;25;25000
272;10;28;65000
273;10;32;55000
274;10;33;25000
275;10;37;45000
276;10;41;55000
277;10;42;50000
278;10;43;70000
279;10;44;25000
280;10;46;35000
281;10;47;40000
282;10;48;45000
283;10;57;40000
284;10;60;30000
285;10;61;55000
286;10;62;90000
287;10;68;55000
288;11;1;85000
289;11;7;45000
290;11;9;35000
291;11;10;40000
292;11;14;50000
293;11;15;25000
294;11;17;55000
295;11;19;40000
296;11;24;50000
297;11;25;75000
298;11;29;40000
299;11;32;70000
300;11;33;55000
301;11;42;35000
302;11;51;30000
303;11;53;60000
304;11;54;35000
305;11;57;70000
306;11;58;35000
307;11;62;85000
308;11;64;40000
309;11;69;85000
310;11;70;50000
311;12;3;75000
312;12;7;40000
313;12;15;80000
314;12;18;60000
315;12;27;75000
316;12;28;50000
317;12;30;75000
318;12;31;35000
319;12;33;50000
320;12;35;55000
321;12;36;50000
322;12;43;85000
323;12;45;40000
324;12;47;80000
325;12;49;30000
326;12;51;90000
327;12;52;40000
328;12;53;70000
329;12;58;25000
330;12;60;45000
331;12;63;35000
332;12;64;80000
333;12;65;70000
334;12;66;90000
335;12;68;90000
336;13;2;70000
337;13;3;35000
338;13;4;40000
339;13;6;40000
340;13;9;75000
341;13;11;50000
342;13;12;50000
343;13;16;40000
344;13;17;25000
345;13;18;90000
346;13;20;75000
347;13;21;35000
348;13;22;70000
349;13;25;70000
350;13;29;85000
351;13;30;85000
352;13;32;55000
353;13;35;80000
354;13;36;40000
355;13;41;50000
356;13;44;30000
357;13;45;65000
358;13;47;70000
359;13;49;35000
360;13;51;80000
361;13;55;30000
362;13;60;75000
363;13;61;60000
364;14;2;25000
365;14;3;75000
366;14;6;85000
367;14;7;90000
368;14;9;50000
369;14;14;40000
370;14;16;40000
371;14;18;55000
372;14;20;60000
373;14;21;30000
374;14;22;35000
375;14;25;45000
376;14;26;90000
377;14;27;30000
378;14;31;85000
379;14;32;30000
380;14;35;55000
381;14;41;65000
382;14;45;90000
383;14;47;80000
384;14;48;80000
385;14;49;65000
386;14;53;55000
387;14;54;55000
388;14;56;40000
389;14;59;25000
390;14;61;55000
391;14;63;25000
392;14;64;70000
393;15;2;60000
394;15;6;45000
395;15;8;50000
396;15;12;30000
397;15;13;55000
398;15;20;75000
399;15;24;65000
400;15;25;35000
401;15;28;70000
402;15;29;80000
403;15;31;35000
404;15;33;60000
405;15;34;30000
406;15;35;25000
407;15;38;40000
408;15;39;65000
409;15;40;55000
410;15;41;45000
411;15;42;80000
412;15;43;30000
413;15;44;85000
414;15;53;50000
415;15;54;25000
416;15;55;55000
417;15;57;30000
418;15;63;70000
419;15;67;80000
420;15;68;30000
421;16;4;35000
422;16;8;75000
423;16;12;55000
424;16;14;75000
425;16;16;75000
426;16;23;30000
427;16;24;35000
428;16;25;80000
429;16;28;50000
430;16;29;80000
431;16;32;45000
432;16;34;45000
433;16;36;25000
434;16;37;70000
435;16;38;50000
436;16;40;85000
437;16;44;35000
438;16;45;60000
439;16;48;50000
440;16;50;30000
441;16;51;65000
442;16;53;70000
443;16;55;35000
444;16;57;55000
445;16;60;85000
446;16;61;45000
447;16;65;25000
448;16;67;30000
449;16;68;60000
450;17;9;25000
451;17;11;55000
452;17;12;55000
453;17;14;80000
454;17;15;30000
455;17;20;90000
456;17;21;80000
457;17;22;35000
458;17;23;40000
459;17;24;30000
460;17;26;25000
461;17;28;35000
462;17;29;70000
463;17;33;40000
464;17;34;55000
465;17;36;75000
466;17;37;60000
467;17;38;80000
468;17;39;90000
469;17;41;90000
470;17;42;35000
471;17;43;60000
472;17;45;50000
473;17;46;60000
474;17;47;30000
475;17;48;50000
476;17;50;35000
477;17;52;90000
478;17;55;80000
479;17;57;40000
480;17;60;50000
481;17;61;65000
482;17;68;60000
483;18;2;40000
484;18;11;90000
485;18;12;25000
486;18;13;65000
487;18;14;75000
488;18;16;40000
489;18;19;45000
490;18;20;45000
491;18;21;25000
492;18;23;90000
493;18;29;85000
494;18;32;45000
495;18;33;85000
496;18;36;75000
497;18;39;55000
498;18;43;35000
499;18;50;65000
500;18;51;35000
501;18;53;50000
502;18;55;75000
503;18;56;35000
504;18;58;55000
505;18;60;75000
506;18;66;80000
507;18;67;30000
508;19;6;55000
509;19;14;35000
510;19;17;85000
511;19;18;55000
512;19;19;75000
513;19;24;55000
514;19;27;25000
515;19;30;75000
516;19;34;85000
517;19;36;75000
518;19;37;70000
519;19;39;50000
520;19;40;65000
521;19;42;55000
522;19;44;25000
523;19;46;60000
524;19;47;35000
525;19;48;75000
526;19;51;50000
527;19;53;55000
528;19;55;60000
529;19;56;90000
530;19;58;25000
531;19;60;25000
532;19;61;30000
533;19;62;50000
534;19;65;80000
535;19;67;30000
536;20;2;55000
537;20;7;40000
538;20;9;30000
539;20;11;60000
540;20;13;40000
541;20;15;70000
542;20;17;50000
543;20;20;45000
544;20;21;55000
545;20;23;70000
546;20;26;65000
547;20;27;25000
548;20;29;60000
549;20;30;85000
550;20;35;85000
551;20;37;60000
552;20;39;75000
553;20;40;45000
554;20;45;50000
555;20;46;60000
556;20;47;25000
557;20;48;60000
558;20;50;25000
559;20;51;30000
560;20;53;80000
561;20;56;45000
562;20;61;70000
563;20;62;25000
564;20;64;70000
565;20;69;70000
