id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad;nombres;apellidos;sexo;especialidad;id_clinica;nombre_clinica;direccion;n_calificaciones;calificacion;latitud;longitud;dpa;valor
18;4;13;3;Ennio Aldo;Aguirre Ducler;MASCULINO;Cirugía;19;Clínica 19;Huérfanos 2653;42;2,9;-33.4418933;-70.6727172;13101;35000
18;4;13;3;Ennio Aldo;Aguirre Ducler;MASCULINO;Cirugía;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;40000
19;5;17;4;Fernando Andrés;Aránguiz Rojas;MASCULINO;Dermatología;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;40000
20;5;45;9;Fernando Andrés;Aránguiz Rojas;MASCULINO;Nutrición animal;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;65000
21;5;66;14;Fernando Andrés;Aránguiz Rojas;MASCULINO;Nutrición natural;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;0
22;5;18;4;Fernando Andrés;Aránguiz Rojas;MASCULINO;Dermatología;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;40000
23;5;31;7;Fernando Andrés;Aránguiz Rojas;MASCULINO;Oncología;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;30000
24;5;70;14;Fernando Andrés;Aránguiz Rojas;MASCULINO;Nutrición natural;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;0
25;6;67;14;Paulina Alejandra;Arias Díaz;FEMENINO;Nutrición natural;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;55000
26;6;14;3;Paulina Alejandra;Arias Díaz;FEMENINO;Cirugía;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;50000
27;6;33;7;Paulina Alejandra;Arias Díaz;FEMENINO;Oncología;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;50000
28;6;10;2;Paulina Alejandra;Arias Díaz;FEMENINO;Urgencias veterinarias;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;70000
29;6;20;4;Paulina Alejandra;Arias Díaz;FEMENINO;Dermatología;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;45000
30;6;8;2;Paulina Alejandra;Arias Díaz;FEMENINO;Urgencias veterinarias;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;70000
31;6;53;11;Paulina Alejandra;Arias Díaz;FEMENINO;Etología;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;0
32;6;63;13;Paulina Alejandra;Arias Díaz;FEMENINO;Geriatría;5;Clínica 5;Huérfanos 2653;69;2,9;-33.4418933;-70.6727172;13101;35000
33;7;43;9;Mauricio Andrés;Arias Monsalve;MASCULINO;Nutrición animal;16;Clínica 16;Huérfanos 2653;53;4;-33.4418933;-70.6727172;13101;35000
34;7;34;7;Mauricio Andrés;Arias Monsalve;MASCULINO;Oncología;16;Clínica 16;Huérfanos 2653;53;4;-33.4418933;-70.6727172;13101;45000
35;8;65;13;Patricio Sebastian;Asencio Schmidt;MASCULINO;Geriatría;8;Clínica 8;Huérfanos 2653;26;4,8;-33.4418933;-70.6727172;13101;25000
35;8;65;13;Patricio Sebastian;Asencio Schmidt;MASCULINO;Geriatría;13;Clínica 13;Huérfanos 2653;50;2,4;-33.4418933;-70.6727172;13101;60000
36;9;56;12;Daniel Ignacio;Avila Avila;MASCULINO;Gastroenterología;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;45000
37;10;61;13;Belén Alejandra;Barra Pérez;FEMENINO;Geriatría;18;Clínica 18;Huérfanos 2653;28;4;-33.4418933;-70.6727172;13101;0
38;10;38;8;Belén Alejandra;Barra Pérez;FEMENINO;Radiología;18;Clínica 18;Huérfanos 2653;28;4;-33.4418933;-70.6727172;13101;55000
39;10;29;6;Belén Alejandra;Barra Pérez;FEMENINO;Oftalmología;18;Clínica 18;Huérfanos 2653;28;4;-33.4418933;-70.6727172;13101;85000
40;11;23;5;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Fisioterapia;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;25000
40;11;23;5;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Fisioterapia;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;0
40;11;23;5;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Fisioterapia;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;55000
41;11;12;3;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Cirugía;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;25000
41;11;12;3;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Cirugía;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;80000
41;11;12;3;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Cirugía;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;40000
42;11;35;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;25000
42;11;35;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;35000
42;11;35;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;85000
43;11;53;11;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Etología;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;0
43;11;53;11;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Etología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;40000
43;11;53;11;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Etología;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;30000
44;11;41;9;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Nutrición animal;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;25000
44;11;41;9;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Nutrición animal;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;40000
44;11;41;9;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Nutrición animal;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;50000
45;11;32;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;25000
45;11;32;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;35000
45;11;32;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;85000
46;11;29;6;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oftalmología;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;65000
46;11;29;6;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oftalmología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;50000
46;11;29;6;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oftalmología;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;25000
47;11;5;1;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Medicina interna;10;Clínica 10;Huérfanos 2653;74;3,4;-33.4418933;-70.6727172;13101;90000
47;11;5;1;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Medicina interna;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;75000
47;11;5;1;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Medicina interna;20;Clínica 20;Huérfanos 2653;68;3,6;-33.4418933;-70.6727172;13101;55000
48;12;24;5;José Luis;Becerra Martínez;MASCULINO;Fisioterapia;2;Clínica 2;Los Conquistadores 2328;45;5;-33.4151561;-70.6110142;13123;25000
48;12;24;5;José Luis;Becerra Martínez;MASCULINO;Fisioterapia;8;Clínica 8;Huérfanos 2653;26;4,8;-33.4418933;-70.6727172;13101;50000
48;12;24;5;José Luis;Becerra Martínez;MASCULINO;Fisioterapia;9;Clínica 9;Huérfanos 2653;16;3,3;-33.4418933;-70.6727172;13101;55000
49;13;59;12;Héctor Andrés;Bilbao Matus;MASCULINO;Gastroenterología;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;35000
50;13;53;11;Héctor Andrés;Bilbao Matus;MASCULINO;Etología;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;30000
51;13;45;9;Héctor Andrés;Bilbao Matus;MASCULINO;Nutrición animal;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;35000
52;13;6;2;Héctor Andrés;Bilbao Matus;MASCULINO;Urgencias veterinarias;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;35000
53;13;43;9;Héctor Andrés;Bilbao Matus;MASCULINO;Nutrición animal;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;35000
54;13;28;6;Héctor Andrés;Bilbao Matus;MASCULINO;Oftalmología;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;40000
55;13;36;8;Héctor Andrés;Bilbao Matus;MASCULINO;Radiología;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;0
56;13;47;10;Héctor Andrés;Bilbao Matus;MASCULINO;Endocrinología;11;Clínica 11;Huérfanos 2653;60;3,6;-33.4418933;-70.6727172;13101;0
57;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;45000
57;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;60000
58;14;24;5;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Fisioterapia;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;40000
58;14;24;5;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Fisioterapia;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;30000
59;14;29;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;30000
59;14;29;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;25000
60;14;41;9;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición animal;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;35000
60;14;41;9;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición animal;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;35000
61;14;28;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;30000
61;14;28;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;25000
62;14;18;4;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Dermatología;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;65000
62;14;18;4;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Dermatología;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;90000
63;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;45000
63;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;17;Clínica 17;Huérfanos 2653;70;2,6;-33.4418933;-70.6727172;13101;60000
64;15;3;1;Mario Julio;Bustos Vásquez;MASCULINO;Medicina interna;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
64;15;3;1;Mario Julio;Bustos Vásquez;MASCULINO;Medicina interna;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;40000
65;15;30;6;Mario Julio;Bustos Vásquez;MASCULINO;Oftalmología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;50000
65;15;30;6;Mario Julio;Bustos Vásquez;MASCULINO;Oftalmología;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;80000
66;15;51;11;Mario Julio;Bustos Vásquez;MASCULINO;Etología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
66;15;51;11;Mario Julio;Bustos Vásquez;MASCULINO;Etología;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;35000
67;15;47;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;30000
67;15;47;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;35000
68;15;70;14;Mario Julio;Bustos Vásquez;MASCULINO;Nutrición natural;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;75000
68;15;70;14;Mario Julio;Bustos Vásquez;MASCULINO;Nutrición natural;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;40000
69;15;49;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;30000
69;15;49;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;35000
70;15;50;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;30000
70;15;50;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;35000
71;15;6;2;Mario Julio;Bustos Vásquez;MASCULINO;Urgencias veterinarias;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;45000
71;15;6;2;Mario Julio;Bustos Vásquez;MASCULINO;Urgencias veterinarias;3;Clínica 3;Avenida El Rosal 4250;12;3,9;-33.4851875;-70.7675101;13119;25000
72;16;28;6;Camila Fernanda;Cabezón Marchant;FEMENINO;Oftalmología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;50000
73;16;20;4;Camila Fernanda;Cabezón Marchant;FEMENINO;Dermatología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
74;16;20;4;Camila Fernanda;Cabezón Marchant;FEMENINO;Dermatología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
75;16;53;11;Camila Fernanda;Cabezón Marchant;FEMENINO;Etología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
76;17;68;14;Carlos Luis;Campos Paiva;MASCULINO;Nutrición natural;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;75000
77;17;17;4;Carlos Luis;Campos Paiva;MASCULINO;Dermatología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
78;17;16;4;Carlos Luis;Campos Paiva;MASCULINO;Dermatología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
79;17;63;13;Carlos Luis;Campos Paiva;MASCULINO;Geriatría;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;0
80;17;3;1;Carlos Luis;Campos Paiva;MASCULINO;Medicina interna;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
81;17;34;7;Carlos Luis;Campos Paiva;MASCULINO;Oncología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
82;17;13;3;Carlos Luis;Campos Paiva;MASCULINO;Cirugía;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
83;17;13;3;Carlos Luis;Campos Paiva;MASCULINO;Cirugía;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
84;17;36;8;Carlos Luis;Campos Paiva;MASCULINO;Radiología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;50000
85;18;60;12;Juan Andrés;Caro Galan;MASCULINO;Gastroenterología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;30000
85;18;60;12;Juan Andrés;Caro Galan;MASCULINO;Gastroenterología;6;Clínica 6;Huérfanos 2653;54;3;-33.4418933;-70.6727172;13101;25000
86;18;51;11;Juan Andrés;Caro Galan;MASCULINO;Etología;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;40000
86;18;51;11;Juan Andrés;Caro Galan;MASCULINO;Etología;6;Clínica 6;Huérfanos 2653;54;3;-33.4418933;-70.6727172;13101;35000
87;18;13;3;Juan Andrés;Caro Galan;MASCULINO;Cirugía;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;25000
87;18;13;3;Juan Andrés;Caro Galan;MASCULINO;Cirugía;6;Clínica 6;Huérfanos 2653;54;3;-33.4418933;-70.6727172;13101;30000
88;18;67;14;Juan Andrés;Caro Galan;MASCULINO;Nutrición natural;1;Clínica 1: Veterinaría los perritos flojos;José Joaquín Vallejos 1312;25;4,2;-33.4823152;-70.6512387;13130;75000
88;18;67;14;Juan Andrés;Caro Galan;MASCULINO;Nutrición natural;6;Clínica 6;Huérfanos 2653;54;3;-33.4418933;-70.6727172;13101;45000
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;30000
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;7;Clínica 7;Huérfanos 2653;44;2,4;-33.4418933;-70.6727172;13101;0
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;50000
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;30000
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;18;Clínica 18;Huérfanos 2653;28;4;-33.4418933;-70.6727172;13101;85000
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;4;Clínica 4;Huérfanos 2653;10;4,8;-33.4418933;-70.6727172;13101;65000
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;7;Clínica 7;Huérfanos 2653;44;2,4;-33.4418933;-70.6727172;13101;45000
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;12;Clínica 12;Huérfanos 2653;26;3,9;-33.4418933;-70.6727172;13101;60000
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;14;Clínica 14;Huérfanos 2653;96;4,9;-33.4418933;-70.6727172;13101;40000
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;18;Clínica 18;Huérfanos 2653;28;4;-33.4418933;-70.6727172;13101;40000
