id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad;prestacion
137;26;40;8;Estudios contrastados
138;26;57;12;Manejo de enfermedades hepáticas
139;26;19;4;Terapia para dermatitis
140;26;1;1;Diagnóstico y tratamiento de enfermedades infecciosas
141;26;15;3;Cirugía laparoscópica
142;26;26;6;Diagnóstico y tratamiento de cataratas
143;26;69;14;Manejo de alergias alimentarias
144;27;65;13;Evaluación geriátrica integral
145;27;58;12;Tratamiento de enfermedades pancreáticas
146;27;25;5;Masajes terapéuticos
147;27;51;11;Diagnóstico y tratamiento de problemas de comportamiento
148;28;16;4;Diagnóstico y tratamiento de alergias cutáneas
149;28;19;4;Terapia para dermatitis
150;28;36;8;Radiografías
151;28;13;3;Cirugía neurológica
152;28;57;12;Manejo de enfermedades hepáticas
153;29;47;10;Manejo de enfermedades tiroideas
154;29;59;12;Terapia para enfermedades intestinales
155;30;42;9;Manejo de enfermedades nutricionales
156;31;17;4;Manejo de infecciones de la piel
157;31;41;9;Planes de alimentación personalizados
158;31;53;11;Manejo de agresividad
159;32;9;2;Reanimación cardiopulmonar
160;32;45;9;Control de peso
161;33;52;11;Terapia para ansiedad y estrés
162;33;57;12;Manejo de enfermedades hepáticas
163;33;48;10;Tratamiento de enfermedades hormonales
164;33;11;3;Cirugía ortopédica
165;33;17;4;Manejo de infecciones de la piel
166;33;20;4;Tratamiento de tumores cutáneos
